['所属小区:碧桂园城市花园', '房屋户型:3室2厅1卫', '房屋单价:15944元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:94.1平方米', '参考首付:45.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:华远云和墅', '房屋户型:5室3厅3卫', '房屋单价:85217元/m²', '所在位置:白云－白云大道北－白云大道北大一大街23号', '建筑面积:230平方米', '参考首付:588.00万', '建造年代:2019年', '房屋朝向:南北', '房屋类型:别墅', '所在楼层:共3层', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:中鼎君和名城', '房屋户型:3室2厅1卫', '房屋单价:33146元/m²', '所在位置:黄埔－大沙地－丰乐北路128号', '建筑面积:89平方米', '参考首付:88.50万', '建造年代:2017年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:敏捷绿湖国际城', '房屋户型:3室2厅1卫', '房屋单价:11529元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:85平方米', '参考首付:29.40万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:人盛巴厘天地', '房屋户型:2室2厅1卫', '房屋单价:12321元/m²', '所在位置:从化－太平镇－广从北路263号', '建筑面积:83.6平方米', '参考首付:30.90万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科海上传奇', '房屋户型:2室2厅2卫', '房屋单价:35789元/m²', '所在位置:荔湾－芳村－太和街', '建筑面积:38平方米', '参考首付:40.80万', '建造年代:2016年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共26层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:兴龙花园', '房屋户型:3室2厅1卫', '房屋单价:6000元/m²', '所在位置:白云－龙归－南岭东路', '建筑面积:90平方米', '参考首付:16.20万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:同创誉城', '房屋户型:1室2厅1卫', '房屋单价:23023元/m²', '所在位置:番禺－南村镇－国泰路12号', '建筑面积:43平方米', '参考首付:29.70万', '建造年代:2013年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共20层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:五元雅园', '房屋户型:3室2厅2卫', '房屋单价:12237元/m²', '所在位置:荔湾－长寿路－文昌南路99号', '建筑面积:76平方米', '参考首付:27.90万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:紫茗花园', '房屋户型:3室2厅2卫', '房屋单价:15111元/m²', '所在位置:南沙－金洲－南沙街', '建筑面积:112.5平方米', '参考首付:51.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共17层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:祈福新邨倚湖湾', '房屋户型:1室1厅1卫', '房屋单价:27879元/m²', '所在位置:番禺－祈福－环湖东路', '建筑面积:52平方米', '参考首付:43.50万', '建造年代:2008年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利红馆', '房屋户型:3室2厅2卫', '房屋单价:34313元/m²', '所在位置:番禺－华南－汉兴东路63号', '建筑面积:87.4平方米', '参考首付:90.00万', '建造年代:2013年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:沙凤置业大厦', '房屋户型:3室2厅2卫', '房屋单价:7721元/m²', '所在位置:白云－金沙洲－沙凤一街', '建筑面积:68平方米', '参考首付:15.75万', '建造年代:2009年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:新天半山', '房屋户型:5室2厅4卫', '房屋单价:44790元/m²', '所在位置:白云－南湖－广州大道北', '建筑面积:272.4平方米', '参考首付:366.00万', '建造年代:2015年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共26层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:江南新苑', '房屋户型:3室2厅2卫', '房屋单价:50000元/m²', '所在位置:海珠－新港西－新港西路40号', '建筑面积:100平方米', '参考首付:150.00万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中达园', '房屋户型:3室2厅2卫', '房屋单价:6933元/m²', '所在位置:花都－新区－天贵路96号', '建筑面积:80.5平方米', '参考首付:16.73万', '建造年代:2009年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南沙广隆苑', '房屋户型:4室2厅2卫', '房屋单价:13851元/m²', '所在位置:南沙－金洲－金沙路', '建筑面积:133.6平方米', '参考首付:55.50万', '建造年代:2009年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:高层(共6层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:水韵蓝湾', '房屋户型:3室2厅2卫', '房屋单价:19899元/m²', '所在位置:番禺－番禺广场－草韵路1号', '建筑面积:85.4平方米', '参考首付:51.00万', '建造年代:2010年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:三多路小区', '房屋户型:3室2厅2卫', '房屋单价:8427元/m²', '所在位置:黄埔－大沙地－三多路72号', '建筑面积:89平方米', '参考首付:22.50万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:时代糖果二期', '房屋户型:3室2厅1卫', '房屋单价:17772元/m²', '所在位置:白云－金沙洲－里广路', '建筑面积:77.7平方米', '参考首付:41.40万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:都会雅苑', '房屋户型:2室2厅1卫', '房屋单价:7273元/m²', '所在位置:花都－新区－玫瑰路7号', '建筑面积:55平方米', '参考首付:12.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:宏丰公寓', '房屋户型:2室2厅1卫', '房屋单价:14600元/m²', '所在位置:荔湾－站前路－站前路95-101号', '建筑面积:50平方米', '参考首付:21.90万', '建造年代:2016年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共17层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:沙东新村', '房屋户型:3室2厅1卫', '房屋单价:14694元/m²', '所在位置:天河－龙洞－华美路66号', '建筑面积:98平方米', '参考首付:43.20万', '建造年代:2007年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:山河西街小区', '房屋户型:3室2厅1卫', '房屋单价:63619元/m²', '所在位置:越秀－东山口－山河西街', '建筑面积:105平方米', '参考首付:200.40万', '建造年代:1999年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:珠水豪庭', '房屋户型:3室2厅2卫', '房屋单价:18843元/m²', '所在位置:广州周边－佛山－北环路138号', '建筑面积:84.9平方米', '参考首付:48.00万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:金马香颂居', '房屋户型:3室2厅2卫', '房屋单价:15288元/m²', '所在位置:增城－荔城－增城大道301号', '建筑面积:90.9平方米', '参考首付:41.70万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:云宵楼', '房屋户型:2室2厅1卫', '房屋单价:21429元/m²', '所在位置:白云－新市－齐富路', '建筑面积:56平方米', '参考首付:36.00万', '建造年代:1999年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共8层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:榕桂街小区', '房屋户型:2室2厅1卫', '房屋单价:14769元/m²', '所在位置:白云－增槎路－增槎路', '建筑面积:65平方米', '参考首付:28.80万', '建造年代:2009年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共16层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:人和花园', '房屋户型:2室1厅1卫', '房屋单价:7984元/m²', '所在位置:白云－人和－兴贤路', '建筑面积:62平方米', '参考首付:14.85万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:绿地柏玥花园', '房屋户型:3室2厅2卫', '房屋单价:34338元/m²', '所在位置:白云－太和－草塘路近北太路', '建筑面积:116.5平方米', '参考首付:120.00万', '建造年代:2017年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共31层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:东凤花园', '房屋户型:3室2厅2卫', '房屋单价:12473元/m²', '所在位置:白云－东平－广从一路', '建筑面积:93平方米', '参考首付:34.80万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:广地花园', '房屋户型:3室2厅2卫', '房屋单价:30108元/m²', '所在位置:番禺－华南－迎宾大道', '建筑面积:93平方米', '参考首付:84.00万', '建造年代:2019年', '房屋朝向:东北', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:益登华庭', '房屋户型:3室2厅1卫', '房屋单价:8210元/m²', '所在位置:花都－狮岭－友谊路16号', '建筑面积:131.5平方米', '参考首付:32.40万', '建造年代:2017年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共22层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:洛涛南区', '房屋户型:3室2厅1卫', '房屋单价:32099元/m²', '所在位置:番禺－洛溪－如意一马路', '建筑面积:81平方米', '参考首付:78.00万', '建造年代:2000年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:高层(共7层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:秀丽小区', '房屋户型:3室2厅2卫', '房屋单价:11749元/m²', '所在位置:黄埔－黄埔区府－金友街2、6、8、10、12、14、16、18、20、22、24、26号...', '建筑面积:82.6平方米', '参考首付:29.10万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:珠江都荟', '房屋户型:3室2厅2卫', '房屋单价:82053元/m²', '所在位置:天河－珠江新城西－华利路25号', '建筑面积:121.8平方米', '参考首付:299.70万', '建造年代:2010年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:高层(共30层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:竹丝岗二马路7号大院', '房屋户型:3室1厅1卫', '房屋单价:52632元/m²', '所在位置:越秀－东山口－竹丝岗二马路', '建筑面积:57平方米', '参考首付:90.00万', '建造年代:1995年', '房屋朝向:东', '房屋类型:普通住宅', '所在楼层:低层(共8层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南浦时代', '房屋户型:1室1厅1卫', '房屋单价:13429元/m²', '所在位置:番禺－洛溪－南浦大桥', '建筑面积:35平方米', '参考首付:14.10万', '建造年代:2018年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共22层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:丰庭花园', '房屋户型:2室2厅1卫', '房屋单价:19201元/m²', '所在位置:南沙－金洲－广丰路', '建筑面积:83.3平方米', '参考首付:48.00万', '建造年代:2009年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:祈福新邨青怡居', '房屋户型:2室2厅1卫', '房屋单价:23222元/m²', '所在位置:番禺－祈福－祈福大道', '建筑面积:68.9平方米', '参考首付:48.00万', '建造年代:2000年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:共5层', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:方圆合景南沙水恋', '房屋户型:3室2厅2卫', '房屋单价:17359元/m²', '所在位置:南沙－黄阁－市南大道', '建筑面积:92.2平方米', '参考首付:48.00万', '建造年代:2018年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:金泽花园', '房屋户型:2室2厅1卫', '房屋单价:12299元/m²', '所在位置:增城－新塘－新塘中路28号', '建筑面积:68.3平方米', '参考首付:25.20万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南沙碧桂园天玺湾', '房屋户型:3室2厅1卫', '房屋单价:23300元/m²', '所在位置:南沙－进港大道－进港大道', '建筑面积:109.4平方米', '参考首付:76.50万', '建造年代:2015年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:珠江新城甲子村', '房屋户型:3室2厅1卫', '房屋单价:20714元/m²', '所在位置:天河－珠江新城东－马场路', '建筑面积:70平方米', '参考首付:43.50万', '建造年代:2010年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:龙溪雅苑', '房屋户型:3室2厅2卫', '房屋单价:4118元/m²', '所在位置:白云－竹料－广从三路440号', '建筑面积:102平方米', '参考首付:12.60万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:珠光公寓', '房屋户型:2室1厅2卫', '房屋单价:53125元/m²', '所在位置:越秀－北京路－珠光路188号', '建筑面积:32平方米', '参考首付:51.00万', '建造年代:1980年', '房屋朝向:东', '房屋类型:普通住宅', '所在楼层:共3层', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:自由人花园', '房屋户型:3室2厅2卫', '房屋单价:21387元/m²', '所在位置:花都－镜湖大道－广花路', '建筑面积:109.9平方米', '参考首付:70.50万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:大城云山', '房屋户型:3室2厅2卫', '房屋单价:12240元/m²', '所在位置:从化－太平镇－广从南路1033号', '建筑面积:81.7平方米', '参考首付:30.00万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:高层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:汇海花园(保利西海岸)', '房屋户型:3室2厅1卫', '房屋单价:31153元/m²', '所在位置:白云－金沙洲－彩滨北路', '建筑面积:83.5平方米', '参考首付:78.00万', '建造年代:2014年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:高层(共26层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南沙奥园', '房屋户型:2室2厅1卫', '房屋单价:18569元/m²', '所在位置:南沙－金洲－珠江东路269号', '建筑面积:84平方米', '参考首付:46.80万', '建造年代:2009年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:低层(共11层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:富力天河华庭', '房屋户型:3室2厅2卫', '房屋单价:67675元/m²', '所在位置:天河－林和－华庭路3-5号', '建筑面积:167.3平方米', '参考首付:339.60万', '建造年代:2010年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:名人大厦', '房屋户型:3室2厅1卫', '房屋单价:12222元/m²', '所在位置:番禺－大石－群贤路70号', '建筑面积:90平方米', '参考首付:33.00万', '建造年代:2004年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南沙碧桂园天玺湾', '房屋户型:2室2厅1卫', '房屋单价:20161元/m²', '所在位置:南沙－进港大道－进港大道', '建筑面积:76.9平方米', '参考首付:46.50万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:星汇海珠湾', '房屋户型:3室2厅2卫', '房屋单价:38571元/m²', '所在位置:海珠－工业大道南－广纸路40号', '建筑面积:56平方米', '参考首付:64.80万', '建造年代:2018年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共10层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:敏捷绿湖国际城', '房屋户型:3室2厅1卫', '房屋单价:11973元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:80.2平方米', '参考首付:28.80万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共26层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:番禺富豪山庄(别墅)', '房屋户型:4室3厅4卫', '房屋单价:31613元/m²', '所在位置:番禺－祈福－市广路232号', '建筑面积:155平方米', '参考首付:147.00万', '建造年代:1998年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:共3层', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:惠福西路大院', '房屋户型:2室2厅1卫', '房屋单价:33962元/m²', '所在位置:越秀－西门口－惠福西路', '建筑面积:53平方米', '参考首付:54.00万', '建造年代:1993年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:祈福缤纷汇', '房屋户型:3室2厅2卫', '房屋单价:32669元/m²', '所在位置:番禺－祈福－福华路24号', '建筑面积:90.3平方米', '参考首付:88.50万', '建造年代:2018年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共31层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:同创誉城', '房屋户型:3室2厅2卫', '房屋单价:22889元/m²', '所在位置:番禺－南村镇－国泰路12号', '建筑面积:45平方米', '参考首付:30.90万', '建造年代:2016年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共19层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:星河山海湾(别墅)', '房屋户型:4室2厅3卫', '房屋单价:39535元/m²', '所在位置:南沙－黄阁－港前大道南', '建筑面积:430平方米', '参考首付:510.00万', '建造年代:2017年', '房屋朝向:南北', '房屋类型:别墅', '所在楼层:共3层', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:华海达公寓', '房屋户型:2室2厅2卫', '房屋单价:16061元/m²', '所在位置:天河－岗顶－龙口横街28号', '建筑面积:33平方米', '参考首付:15.90万', '建造年代:2014年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:高层(共20层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:丰庭花园', '房屋户型:2室2厅1卫', '房屋单价:19642元/m²', '所在位置:南沙－金洲－广丰路', '建筑面积:81.5平方米', '参考首付:48.00万', '建造年代:2009年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利碧桂园公园大道', '房屋户型:3室2厅2卫', '房屋单价:43636元/m²', '所在位置:荔湾－芳村－鹤洞路157号', '建筑面积:110平方米', '参考首付:144.00万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共38层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:猎德花园', '房屋户型:3室2厅2卫', '房屋单价:19292元/m²', '所在位置:天河－珠江新城东－猎德大道20号', '建筑面积:113平方米', '参考首付:65.40万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:时代天韵', '房屋户型:3室2厅2卫', '房屋单价:20256元/m²', '所在位置:萝岗－知识城－九龙大道', '建筑面积:78平方米', '参考首付:47.40万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共25层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:雅居乐剑桥郡佰利山', '房屋户型:3室2厅2卫', '房屋单价:35167元/m²', '所在位置:番禺－广州雅居乐－番禺区南村镇雅居乐剑桥郡新地路', '建筑面积:118.9平方米', '参考首付:125.40万', '建造年代:2013年', '房屋朝向:东北', '房屋类型:普通住宅', '所在楼层:高层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:三角楼', '房屋户型:2室1厅1卫', '房屋单价:26316元/m²', '所在位置:黄埔－黄埔区府－大沙东路157号', '建筑面积:57平方米', '参考首付:45.00万', '建造年代:2001年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共7层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
